Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,Pag-ibig #,TIN #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Hourly Rate
10013,Farala,Martha,01/11/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ,329-034-366,45-5656375-0,233693897247,631130283546,210-835-851-000,Regular,Payroll Rank and File,Salcedo Anthony,24000,1500,500,500,143
10014,Martinez,Leila,07/11/1970,37/46 Kulas Roads Maragondon 0962 Quirino ,877-110-749,27-2090996-4,515741057496,101205445886,275-792-513-000,Regular,Payroll Rank and File,Salcedo Anthony,24000,1500,500,500,143
10015,Romualdez,Fredrick ,03/10/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,26-8768374-1,308366860059,223057707853,598-065-761-000,Regular,Account Manager,Lim Antonio,53500,1500,1000,1000,318
10016,Mata,Christian,10/21/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ,783-776-744,49-2959312-6,824187961962,631052853464,103-100-522-000,Regular,Account Team Leader,Romualdez Fredrick ,42975,1500,800,800,256
10017,De Leon,Selena ,02/20/1975,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,27-2090208-8,587272469938,719007608464,482-259-498-000,Regular,Account Team Leader,Romualdez Fredrick ,41850,1500,800,800,249
10018,San Jose,Allison ,06/24/1986,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,45-3251383-0,745148459521,114901859343,121-203-336-000,Regular,Account Rank and File,Mata Christian,22500,1500,500,500,134
10019,Rosario,Cydney ,10/06/1996,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,49-1629900-2,579253435499,265104358643,122-244-511-000,Regular,Account Rank and File,Mata Christian,22500,1500,500,500,134
10020,Bautista,Mark ,02/12/1991,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,49-1647342-5,399665157135,260054585575,273-970-941-000,Regular,Account Rank and File,Mata Christian,23250,1500,500,500,138
10021,Lazaro,Darlene ,11/25/1985,47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino,740-721-558,45-5617168-2,606386917510,104907708845,354-650-951-000,Probationary,Account Rank and File,Mata Christian,23250,1500,500,500,138
10022,Delos Santos,Kolby ,02/26/1980,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,52-0109570-6,357451271274,113017988667,187-500-345-000,Probationary,Account Rank and File,Mata Christian,24000,1500,500,500,143
10023,Santos,Vella ,12/31/1983,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,52-9883524-3,548670482885,360028104576,101-558-994-000,Probationary,Account Rank and File,Mata Christian,22500,1500,500,500,134
10024,Del Rosario,Tomas,12/18/1978,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,45-5866331-6,953901539995,913108649964,560-735-732-000,Probationary,Account Rank and File,Mata Christian,22500,1500,500,500,134
10025,Tolentino,Jacklyn ,05/19/1984,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,47-1692793-0,753800654114,210546661243,841-177-857-000,Probationary,Account Rank and File,De Leon Selena,24000,1500,500,500,143
